Epoch[0] Batch [60]	Speed: 7368.9 samples/sec	Train-accuracy=0.595
Epoch[0] Batch [120]	Speed: 7449.3 samples/sec	Train-accuracy=0.909
Epoch[0] Batch [180]	Speed: 7409.4 samples/sec	Train-accuracy=0.923
Epoch[0] Batch [240]	Speed: 7454.2 samples/sec	Train-accuracy=0.953
Epoch[0] Batch [300]	Speed: 7380.2 samples/sec	Train-accuracy=0.962
Epoch[0] Batch [360]	Speed: 7382.9 samples/sec	Train-accuracy=0.964
Epoch[0] Batch [420]	Speed: 7380.5 samples/sec	Train-accuracy=0.965
Epoch[0] Batch [480]	Speed: 7413.7 samples/sec	Train-accuracy=0.972
Epoch[0] Batch [540]	Speed: 7250.2 samples/sec	Train-accuracy=0.973
Epoch[0] Batch [600]	Speed: 7413.9 samples/sec	Train-accuracy=0.977
Epoch[0] Validation-accuracy=0.978
Epoch[1] Batch [60]	Speed: 7225.7 samples/sec	Train-accuracy=0.981
Epoch[1] Batch [120]	Speed: 6925.0 samples/sec	Train-accuracy=0.977
Epoch[1] Batch [180]	Speed: 6851.0 samples/sec	Train-accuracy=0.984
Epoch[1] Batch [240]	Speed: 7378.8 samples/sec	Train-accuracy=0.981
Epoch[1] Batch [300]	Speed: 7360.9 samples/sec	Train-accuracy=0.986
Epoch[1] Batch [360]	Speed: 7473.1 samples/sec	Train-accuracy=0.988
Epoch[1] Batch [420]	Speed: 7368.4 samples/sec	Train-accuracy=0.984
Epoch[1] Batch [480]	Speed: 7324.4 samples/sec	Train-accuracy=0.99
Epoch[1] Batch [540]	Speed: 7448.0 samples/sec	Train-accuracy=0.989
Epoch[1] Batch [600]	Speed: 7466.7 samples/sec	Train-accuracy=0.988
Epoch[1] Validation-accuracy=0.987
Epoch[2] Batch [60]	Speed: 7625.0 samples/sec	Train-accuracy=0.993
Epoch[2] Batch [120]	Speed: 7485.7 samples/sec	Train-accuracy=0.99
Epoch[2] Batch [180]	Speed: 7486.6 samples/sec	Train-accuracy=0.993
Epoch[2] Batch [240]	Speed: 7420.0 samples/sec	Train-accuracy=0.993
Epoch[2] Batch [300]	Speed: 7462.5 samples/sec	Train-accuracy=0.993
Epoch[2] Batch [360]	Speed: 7502.2 samples/sec	Train-accuracy=0.994
Epoch[2] Batch [420]	Speed: 7504.5 samples/sec	Train-accuracy=0.991
Epoch[2] Batch [480]	Speed: 7458.7 samples/sec	Train-accuracy=0.996
Epoch[2] Batch [540]	Speed: 7480.0 samples/sec	Train-accuracy=0.992
Epoch[2] Batch [600]	Speed: 7474.4 samples/sec	Train-accuracy=0.995
Epoch[2] Validation-accuracy=0.986
Epoch[3] Batch [60]	Speed: 7619.4 samples/sec	Train-accuracy=0.995
Epoch[3] Batch [120]	Speed: 7462.8 samples/sec	Train-accuracy=0.997
Epoch[3] Batch [180]	Speed: 7454.3 samples/sec	Train-accuracy=0.995
Epoch[3] Batch [240]	Speed: 7484.1 samples/sec	Train-accuracy=0.996
Epoch[3] Batch [300]	Speed: 7470.3 samples/sec	Train-accuracy=0.998
Epoch[3] Batch [360]	Speed: 7492.2 samples/sec	Train-accuracy=0.998
Epoch[3] Batch [420]	Speed: 7508.6 samples/sec	Train-accuracy=0.996
Epoch[3] Batch [480]	Speed: 7539.2 samples/sec	Train-accuracy=0.998
Epoch[3] Batch [540]	Speed: 7476.8 samples/sec	Train-accuracy=0.996
Epoch[3] Batch [600]	Speed: 7442.6 samples/sec	Train-accuracy=0.996
Epoch[3] Validation-accuracy=0.989
Epoch[4] Batch [60]	Speed: 7631.0 samples/sec	Train-accuracy=0.998
Epoch[4] Batch [120]	Speed: 7476.2 samples/sec	Train-accuracy=0.998
Epoch[4] Batch [180]	Speed: 7484.5 samples/sec	Train-accuracy=0.998
Epoch[4] Batch [240]	Speed: 7495.7 samples/sec	Train-accuracy=0.998
Epoch[4] Batch [300]	Speed: 7485.8 samples/sec	Train-accuracy=0.999
Epoch[4] Batch [360]	Speed: 7496.1 samples/sec	Train-accuracy=0.999
Epoch[4] Batch [420]	Speed: 7433.0 samples/sec	Train-accuracy=0.998
Epoch[4] Batch [480]	Speed: 7492.6 samples/sec	Train-accuracy=0.999
Epoch[4] Batch [540]	Speed: 7525.4 samples/sec	Train-accuracy=0.998
Epoch[4] Batch [600]	Speed: 7577.0 samples/sec	Train-accuracy=1.0
Epoch[4] Validation-accuracy=0.991
